Open in Excel for Better user experience.,,,,,,,,,,,,,,,,,,,
Optimal Strategy Training,,,,,,,Random Strategy Training,,,,,,,Menace to Menace Strategy Training,,,,,
Time Stamp,Count,Menace Wins,Menace Lose,Draws,Result,,Time Stamp,Count,Menace Wins,Menace Lose,Draws,Result,,Time Stamp,Count,Menace Wins,Menace Lose,Draws,Result
Fri Apr 22 00:34:29 EDT 2022,58,0,33,24, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,57,41,58,9956, conditionDraw,,Fri Apr 22 00:34:38 EDT 2022,57,9206,191,10657, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,59,0,34,24, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,58,41,58,9957, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,58,9207,191,10657, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,60,0,34,25, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,59,42,58,9957, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,59,9208,191,10657, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,61,0,35,25, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,60,43,58,9957, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,60,9209,191,10657, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,62,0,35,26, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,61,44,58,9957, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,61,9210,191,10657, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,63,0,35,27, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,62,45,58,9957, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,62,9211,191,10657, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,64,0,35,28, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,63,46,58,9957, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,63,9212,191,10657, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,65,0,36,28, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,64,47,58,9957, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,64,9213,191,10657, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,66,0,36,29, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,65,48,58,9957, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,65,9214,191,10657, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,67,0,36,30, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,66,49,58,9957, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,66,9215,191,10657, MenaceWins
